gene_name,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Rasal2,9.57E-283,36.63569227,0.453,0.227,3.08E-278
Thrb,1.46E-282,41.07796384,0.334,0.118,4.69E-278
Mir99ahg,1.82E-281,17.5918153,0.575,0.327,5.85E-277
Nrg3,1.27E-280,-300.7394965,0.72,0.622,4.09E-276
Abr,3.40E-280,9.076269809,0.312,0.098,1.09E-275
Lrp1b,4.57E-280,51.27809353,0.73,0.572,1.47E-275
Meg3,1.81E-279,-62.6948147,0.772,0.719,5.83E-275
Robo1,9.99E-277,55.59536171,0.459,0.24,3.21E-272
Kcnq3,1.09E-276,83.82400174,0.434,0.198,3.51E-272
Etv1,3.24E-272,-0.817736791,0.315,0.557,1.04E-267
Nlgn1,4.72E-272,62.81965385,0.791,0.675,1.52E-267
Cadps,8.13E-272,16.66249108,0.593,0.407,2.62E-267
Lhfp,5.48E-269,42.62108312,0.428,0.662,1.76E-264
Prkn,6.74E-266,3.694273117,0.59,0.369,2.17E-261
Sgcd,2.11E-265,-36.71661577,0.3,0.094,6.80E-261
Large1,3.64E-265,24.1291892,0.519,0.308,1.17E-260
Slc24a2,4.41E-259,-30.40840695,0.414,0.172,1.42E-254
Chd7,2.73E-257,2.184751731,0.346,0.581,8.79E-253
Asap1,1.49E-255,7.963130709,0.379,0.162,4.80E-251
Olfm3,5.14E-254,-8.948918241,0.525,0.747,1.66E-249
Tenm2,5.24E-254,-3.544318027,0.622,0.479,1.69E-249
Plxna4,9.01E-254,-3.544135057,0.358,0.145,2.90E-249
Myt1l,9.34E-253,29.29098943,0.548,0.355,3.01E-248
Phactr1,1.54E-252,240.7217676,0.547,0.364,4.97E-248
Hecw1,9.77E-248,2.819568783,0.382,0.171,3.14E-243
Sipa1l1,6.00E-242,12.51048566,0.408,0.207,1.93E-237
Ncam2,1.62E-240,67.13320192,0.532,0.32,5.22E-236
Cdh10,1.80E-240,25.30368345,0.361,0.152,5.79E-236
Klf12,6.01E-238,11.69631407,0.453,0.238,1.93E-233
Mast4,3.10E-236,33.68909225,0.419,0.191,9.98E-232
Celf2,1.50E-234,74.36121418,0.735,0.639,4.81E-230
Rian,1.42E-232,13.21047263,0.593,0.436,4.57E-228
Tnrc6c,6.31E-229,8.069314868,0.537,0.342,2.03E-224
Dgki,6.83E-228,32.31287741,0.521,0.322,2.20E-223
Dclk1,1.04E-224,8.018296117,0.56,0.391,3.35E-220
Aff3,4.76E-223,3.419121727,0.38,0.178,1.53E-218
Mmp16,1.08E-220,87.83944093,0.439,0.246,3.46E-216
Reln,3.11E-220,71.15604465,0.361,0.592,9.99E-216
Astn1,1.29E-219,7.918701033,0.35,0.157,4.15E-215
Edil3,4.63E-219,-13.59958319,0.36,0.149,1.49E-214
B3galt1,1.49E-217,-50.96857709,0.562,0.363,4.81E-213
Klhl29,4.68E-213,2.681098247,0.33,0.144,1.51E-208
Zfp521,1.01E-212,-15.98575585,0.349,0.56,3.24E-208
Trim9,2.52E-212,6.025069903,0.365,0.172,8.10E-208
Alcam,2.31E-209,-28.51273756,0.318,0.134,7.44E-205
Kcnq1ot1,2.08E-200,-29.51282875,0.482,0.292,6.69E-196
B830012L14Rik,2.81E-200,0.763342782,0.398,0.21,9.05E-196
Gm2694,3.06E-200,-1.419332257,0.171,0.35,9.83E-196
Tnr,1.17E-198,-3.47124697,0.385,0.199,3.78E-194
Cmip,1.68E-197,9.052293506,0.313,0.133,5.39E-193
Rbm39,8.13E-196,7.261262213,0.74,0.601,2.62E-191
Kcnb2,5.88E-195,62.81965333,0.416,0.239,1.89E-190
Nlk,1.11E-194,19.53472064,0.377,0.196,3.58E-190
Cacna1b,9.83E-194,3.496881115,0.358,0.178,3.16E-189
Pex5l,1.48E-193,7.997064268,0.321,0.136,4.76E-189
Cit,4.06E-192,55.13034228,0.34,0.163,1.31E-187
Fam155a,5.87E-192,38.29383816,0.769,0.694,1.89E-187
Nebl,4.87E-189,-0.68215615,0.378,0.184,1.57E-184
Fat2,8.29E-188,-0.860638516,0.147,0.315,2.67E-183
Dab1,2.28E-187,37.85148951,0.613,0.484,7.35E-183
R3hdm1,4.48E-185,18.1701408,0.574,0.425,1.44E-180
Ctnna2,6.92E-184,179.6585633,0.75,0.652,2.23E-179
Csmd2,1.63E-182,5.087412986,0.377,0.203,5.23E-178
Cadps2,4.71E-182,75.80293396,0.478,0.68,1.51E-177
Zeb2,2.97E-181,13.69514967,0.333,0.15,9.57E-177
Stau2,1.51E-179,6.958257771,0.413,0.235,4.86E-175
Macrod2,1.86E-178,28.64769677,0.766,0.675,6.00E-174
Hdac9,2.46E-178,-2.101619725,0.408,0.236,7.91E-174
Rsrp1,3.46E-177,0.757637683,0.418,0.239,1.11E-172
Dip2c,3.98E-177,13.691786,0.613,0.457,1.28E-172
Ptprd,1.50E-176,Inf,0.825,0.812,4.81E-172
Spock3,2.70E-176,33.95711763,0.301,0.13,8.68E-172
Gm42418,1.23E-175,-179.5531042,0.735,0.855,3.94E-171
Pbx1,1.79E-174,9.404170152,0.598,0.428,5.75E-170
Apc,2.05E-174,3.372105645,0.611,0.442,6.59E-170
Grm4,3.03E-172,-1.412444201,0.161,0.325,9.74E-168
Fbxl17,2.48E-171,5.078810831,0.616,0.455,7.98E-167
Lncpint,1.10E-170,6.55457143,0.573,0.423,3.52E-166
Arglu1,1.34E-170,3.429600102,0.449,0.268,4.30E-166
Unc13c,2.74E-170,-44.82608876,0.455,0.655,8.80E-166
Srek1,1.61E-169,2.373234256,0.484,0.302,5.18E-165
Slc8a1,8.89E-169,68.58529399,0.575,0.411,2.86E-164
Btg1,1.37E-168,-1.211044983,0.205,0.372,4.40E-164
Ank3,3.61E-167,44.07428848,0.77,0.709,1.16E-162
Ryr3,3.81E-167,-15.57980271,0.304,0.143,1.23E-162
Xist,4.00E-167,3.779752223,0.704,0.559,1.29E-162
Gtdc1,6.98E-165,20.44554612,0.338,0.173,2.25E-160
Zic1,3.44E-164,-1.301574008,0.148,0.304,1.11E-159
Ube3a,3.89E-164,8.491771808,0.643,0.523,1.25E-159
Mycbp2,4.01E-164,8.063079568,0.77,0.655,1.29E-159
Kidins220,1.70E-162,3.883492942,0.406,0.236,5.47E-158
Ube2e2,1.18E-161,16.57041707,0.602,0.436,3.79E-157
Akap6,1.87E-161,17.89497416,0.61,0.468,6.01E-157
Enah,1.74E-159,-3.525273935,0.387,0.214,5.60E-155
Cacna2d3,5.31E-159,13.76987021,0.356,0.206,1.71E-154
Ptk2,1.10E-158,-0.590128137,0.422,0.252,3.52E-154
Tmem178b,7.72E-158,25.30800308,0.588,0.439,2.48E-153
Prkca,8.13E-158,27.53667758,0.371,0.2,2.62E-153
Ctnnd2,1.06E-156,32.52171876,0.794,0.72,3.42E-152
2210408I21Rik,2.44E-156,9.581193464,0.346,0.18,7.86E-152
Cacna1d,5.11E-154,-4.982468257,0.47,0.307,1.64E-149
Mbd5,9.66E-154,4.771814937,0.672,0.534,3.11E-149
Dync1i2,4.55E-153,0.756233712,0.442,0.279,1.46E-148
Jazf1,7.39E-153,4.006100061,0.325,0.168,2.38E-148
Tnik,2.57E-152,19.45854168,0.611,0.463,8.26E-148
Dock7,1.13E-150,10.21725644,0.359,0.195,3.63E-146
Slc4a10,4.60E-150,-35.25735617,0.51,0.359,1.48E-145
Nsf,3.43E-149,14.24289015,0.439,0.281,1.10E-144
Galntl6,2.21E-147,315.2835807,0.353,0.203,7.10E-143
Unc79,1.67E-146,11.85988975,0.458,0.3,5.37E-142
Fmn2,4.25E-146,10.73530919,0.434,0.264,1.37E-141
Stmn2,9.23E-146,-2.070085838,0.315,0.476,2.97E-141
Nbea,1.44E-145,19.50079676,0.781,0.71,4.64E-141
Cplane1,4.22E-144,6.58229753,0.495,0.339,1.36E-139
Nktr,6.29E-143,-2.86658597,0.506,0.345,2.02E-138
Mrtfb,5.47E-142,13.75524967,0.355,0.205,1.76E-137
Reps2,5.71E-142,1.718440108,0.302,0.151,1.84E-137
Ubr3,1.02E-141,8.038830874,0.53,0.377,3.30E-137
Opcml,2.39E-141,263.3280797,0.699,0.659,7.68E-137
Magi2,5.25E-141,39.7365332,0.885,0.83,1.69E-136
Ssbp2,2.51E-140,-14.05807668,0.46,0.302,8.08E-136
Caln1,5.33E-140,16.09713292,0.542,0.707,1.71E-135
Pabpn1,4.20E-139,1.291686342,0.438,0.278,1.35E-134
Hs6st3,8.25E-138,16.65341597,0.434,0.301,2.65E-133
Sgip1,8.52E-138,17.78568693,0.611,0.469,2.74E-133
Kctd8,1.23E-137,-9.313780243,0.397,0.566,3.95E-133
Rmdn1,1.89E-137,1.295361008,0.403,0.248,6.09E-133
Pi4ka,5.20E-137,4.096609277,0.444,0.288,1.67E-132
Garnl3,5.84E-137,45.50789212,0.305,0.159,1.88E-132
Focad,3.45E-136,26.68027625,0.395,0.244,1.11E-131
Eml6,1.91E-135,1.09906363,0.399,0.242,6.15E-131
Strbp,6.74E-135,21.08665004,0.681,0.577,2.17E-130
Il1rapl1,1.08E-134,61.37695881,0.857,0.84,3.48E-130
4930402H24Rik,1.49E-134,2.86120448,0.46,0.294,4.79E-130
Ppp1r9a,4.03E-134,11.60194895,0.457,0.303,1.30E-129
Dock3,4.15E-134,20.00550533,0.664,0.556,1.33E-129
St18,3.00E-133,-12.19691329,0.274,0.448,9.66E-129
Zbtb20,1.46E-132,71.4758229,0.707,0.842,4.70E-128
Etnk1,3.17E-131,3.509861321,0.391,0.239,1.02E-126
Gucy1a2,8.15E-131,7.145092657,0.32,0.174,2.62E-126
Ror1,5.00E-130,-7.200970444,0.237,0.392,1.61E-125
Tcf20,1.01E-129,1.286224596,0.34,0.192,3.24E-125
Ogt,2.27E-128,3.193959967,0.571,0.425,7.32E-124
Dpp10,5.36E-128,-16.5285734,0.57,0.485,1.72E-123
Dpf3,2.47E-127,-6.433620922,0.248,0.403,7.93E-123
Ank2,2.48E-127,-95.31685226,0.895,0.854,7.97E-123
Trmt9b,1.62E-126,-1.05603112,0.167,0.305,5.21E-122
Mirg,5.56E-126,2.181756957,0.322,0.178,1.79E-121
Sema6d,3.34E-123,57.98571899,0.362,0.216,1.08E-118
Rabep1,6.80E-123,1.73061337,0.397,0.247,2.19E-118
Tenm1,1.33E-122,32.52323544,0.663,0.784,4.27E-118
Adgrb3,7.30E-122,68.52033729,0.897,0.888,2.35E-117
Atxn1,2.28E-121,15.82273388,0.605,0.486,7.33E-117
Usp29,2.49E-121,3.910641838,0.378,0.237,8.01E-117
Ralgapa2,4.72E-121,2.483339389,0.378,0.232,1.52E-116
Dennd1a,1.06E-120,20.30085892,0.595,0.459,3.42E-116
Zcchc7,1.58E-120,-3.303201629,0.583,0.443,5.09E-116
Samd12,2.88E-120,17.74174043,0.562,0.433,9.27E-116
Ptprg,2.55E-119,42.43581385,0.509,0.373,8.21E-115
Adcy1,1.58E-118,5.908058536,0.326,0.476,5.09E-114
Exoc6b,4.40E-118,31.82242171,0.518,0.372,1.42E-113
Vps13b,5.04E-118,3.385394149,0.565,0.432,1.62E-113
Cdr1os,6.22E-118,3.668983911,0.589,0.476,2.00E-113
Snhg14,7.75E-118,-7.872403133,0.734,0.672,2.49E-113
Ttc14,2.12E-116,4.943961161,0.505,0.364,6.81E-112
Atp2c1,2.94E-116,-0.732458539,0.357,0.216,9.46E-112
Dync2h1,7.35E-116,2.595577416,0.307,0.17,2.37E-111
Atp1a1,2.99E-115,2.40082562,0.22,0.361,9.63E-111
Chd9,2.19E-114,6.494701563,0.564,0.42,7.06E-110
Kcnn2,2.63E-114,11.79944476,0.339,0.194,8.47E-110
Gm47283,3.61E-114,9.145841216,0.419,0.272,1.16E-109
Usp3,4.14E-114,-1.706785639,0.339,0.486,1.33E-109
Eml5,6.51E-114,17.43481745,0.485,0.343,2.09E-109
Pld5,7.79E-114,1.282464792,0.315,0.47,2.51E-109
Ahcyl2,8.51E-114,9.428504357,0.38,0.235,2.74E-109
Phf20l1,1.07E-113,19.53200072,0.527,0.391,3.43E-109
Cpeb3,2.61E-113,-10.75276756,0.524,0.39,8.39E-109
Dennd4a,2.74E-113,-9.664599002,0.366,0.226,8.81E-109
Pja2,8.99E-112,-4.463446373,0.372,0.233,2.89E-107
Frmd5,1.34E-111,42.61443628,0.551,0.411,4.32E-107
Nyap2,6.39E-111,15.21069317,0.315,0.185,2.05E-106
Luc7l2,9.57E-111,3.665156092,0.722,0.613,3.08E-106
Lsamp,1.04E-110,12.32532742,0.924,0.933,3.34E-106
Atp8a2,1.08E-110,2.617971365,0.344,0.208,3.48E-106
Usp34,1.39E-110,7.025010027,0.643,0.529,4.47E-106
Camk4,2.70E-110,13.64520773,0.503,0.648,8.69E-106
Vps13a,2.90E-110,3.905614218,0.444,0.305,9.33E-106
Nf1,3.05E-110,2.721709891,0.527,0.385,9.81E-106
Immp2l,6.60E-110,5.639493413,0.366,0.218,2.12E-105
Abi2,8.08E-110,8.750327766,0.389,0.255,2.60E-105
Nol4,3.70E-109,6.032217295,0.422,0.284,1.19E-104
Tll1,4.32E-109,3.212260684,0.191,0.325,1.39E-104
Ntrk2,9.86E-109,15.28081422,0.557,0.441,3.17E-104
Ppp1r12a,1.98E-107,9.612263868,0.438,0.299,6.36E-103
Herc1,1.42E-106,15.18463742,0.642,0.532,4.58E-102
Tia1,6.35E-106,1.955445287,0.455,0.316,2.04E-101
1110051M20Rik,7.44E-105,1.342716495,0.341,0.206,2.39E-100
Zfr,9.05E-105,3.866208049,0.498,0.366,2.91E-100
Dscaml1,5.42E-104,9.575751759,0.336,0.207,1.74E-99
Atp9b,1.38E-102,2.267684525,0.353,0.221,4.45E-98
Ttc3,3.11E-102,2.131720769,0.683,0.603,1.00E-97
Ecpas,3.10E-101,2.299674869,0.519,0.388,9.96E-97
Rbm26,4.03E-101,3.347058377,0.448,0.311,1.30E-96
Meis1,4.46E-100,-1.230698336,0.219,0.353,1.44E-95
Wdr7,6.71E-100,2.131656457,0.381,0.25,2.16E-95
Nr6a1,8.99E-100,-3.016774327,0.316,0.187,2.89E-95
Npas3,1.98E-99,30.08082368,0.313,0.18,6.38E-95
Sclt1,9.98E-99,-4.706966564,0.389,0.255,3.21E-94
Ehbp1,1.44E-98,-27.27631531,0.5,0.367,4.62E-94
Dzip3,1.74E-98,2.123291476,0.366,0.236,5.59E-94
Ralgapa1,1.77E-98,-1.774512683,0.545,0.421,5.71E-94
Myo5a,1.94E-98,13.92020024,0.449,0.321,6.23E-94
Scn1a,3.32E-98,-0.68527736,0.461,0.332,1.07E-93
Farp1,4.10E-98,8.661740018,0.347,0.215,1.32E-93
Plcxd3,1.04E-97,-12.33586495,0.336,0.474,3.35E-93
Ulk2,1.29E-97,2.031035525,0.373,0.24,4.13E-93
Lin7a,1.63E-97,-5.758664285,0.406,0.536,5.23E-93
Atxn2,1.64E-97,-1.273091991,0.387,0.254,5.28E-93
Trip12,3.63E-97,3.398818587,0.451,0.32,1.17E-92
Cntnap2,5.58E-97,57.04905172,0.779,0.781,1.79E-92
Fry,6.69E-97,1.733487751,0.525,0.399,2.15E-92
Upp2,8.83E-97,3.173617687,0.396,0.265,2.84E-92
Fgf12,1.12E-96,159.4802216,0.804,0.765,3.62E-92
Tbc1d5,3.74E-96,3.672094974,0.419,0.276,1.20E-91
Srrm2,1.71E-95,4.036484232,0.535,0.42,5.50E-91
Ankrd17,2.49E-94,1.592490843,0.524,0.402,8.00E-90
Cadm3,3.37E-94,-1.379753641,0.21,0.333,1.08E-89
Myo9a,7.67E-94,7.331243273,0.557,0.44,2.47E-89
Trim2,9.11E-94,11.0190934,0.439,0.312,2.93E-89
Synj1,4.25E-93,2.012172091,0.322,0.198,1.37E-88
C130071C03Rik,4.67E-93,9.119925517,0.418,0.295,1.50E-88
Sbf2,4.82E-93,2.95465382,0.535,0.409,1.55E-88
Kif21a,7.96E-93,-4.310843156,0.475,0.347,2.56E-88
Astn2,1.20E-92,37.83378729,0.716,0.806,3.84E-88
Tra2a,1.44E-92,1.827460664,0.44,0.311,4.63E-88
Gabrb3,4.12E-92,15.2057907,0.612,0.529,1.32E-87
Prrc2c,4.46E-92,9.162777219,0.442,0.316,1.43E-87
Kcnd2,8.00E-92,68.59043402,0.837,0.882,2.57E-87
Scai,1.00E-91,22.10952198,0.365,0.241,3.23E-87
Sptbn1,1.91E-91,3.730110094,0.481,0.362,6.13E-87
Ptbp2,2.22E-91,2.061544471,0.453,0.323,7.13E-87
Itm2b,7.02E-91,-1.348400591,0.31,0.439,2.26E-86
4932438A13Rik,1.66E-90,4.822847207,0.477,0.351,5.32E-86
Zswim6,2.06E-90,17.47920809,0.302,0.18,6.63E-86
Ttc7b,3.95E-90,5.439935563,0.344,0.224,1.27E-85
Phf14,6.64E-90,14.9499709,0.446,0.314,2.14E-85
Dcaf6,8.75E-90,15.85691306,0.332,0.212,2.81E-85
Camk1d,1.82E-89,18.09610278,0.565,0.459,5.87E-85
Srpk2,2.88E-89,-5.316807173,0.47,0.351,9.27E-85
Rabgap1,8.01E-89,14.1005131,0.465,0.339,2.58E-84
Fam172a,1.34E-88,3.601160516,0.428,0.3,4.31E-84
Acap2,1.51E-88,16.70170592,0.364,0.24,4.84E-84
Cdk12,1.58E-88,2.526398082,0.347,0.223,5.09E-84
Dtnb,1.80E-88,9.28585079,0.402,0.279,5.79E-84
Arl15,2.20E-88,-26.55724483,0.476,0.354,7.09E-84
Nrcam,2.76E-88,23.86557277,0.556,0.443,8.89E-84
Herc2,7.46E-88,5.952874064,0.412,0.287,2.40E-83
Slc4a4,7.94E-88,-15.08576522,0.421,0.574,2.55E-83
Kifap3,8.00E-88,3.095281536,0.366,0.243,2.57E-83
Cntn6,1.21E-87,-4.983355082,0.449,0.589,3.88E-83
Dync1i1,1.30E-87,4.792332613,0.464,0.343,4.18E-83
Braf,1.82E-87,3.698799169,0.461,0.333,5.86E-83
Trpm3,3.77E-87,-71.35098495,0.646,0.789,1.21E-82
Srrm1,1.74E-86,-1.373984209,0.378,0.254,5.59E-82
Macf1,4.50E-86,9.285120644,0.772,0.678,1.45E-81
Magi1,1.25E-85,31.50897478,0.585,0.466,4.01E-81
Mbnl2,1.35E-85,9.404282607,0.518,0.398,4.34E-81
Usp32,2.09E-85,4.789532149,0.391,0.268,6.73E-81
Ttc19,2.26E-85,3.190590849,0.322,0.202,7.29E-81
Kcnc1,3.04E-85,3.212751768,0.285,0.41,9.78E-81
Rasgrf1,4.58E-85,9.986279506,0.415,0.298,1.47E-80
Nfia,1.17E-84,-11.07441075,0.48,0.629,3.77E-80
Vwa8,1.31E-84,-6.949217217,0.338,0.217,4.20E-80
Ncoa1,1.43E-84,2.024985039,0.431,0.304,4.59E-80
Pde1c,1.97E-84,119.0289903,0.246,0.374,6.33E-80
Hivep3,5.28E-84,20.13535769,0.471,0.353,1.70E-79
Psmd14,1.11E-83,2.951367302,0.303,0.186,3.58E-79
Stox2,7.61E-83,13.85365683,0.382,0.257,2.45E-78
Cadm1,1.03E-82,68.5775799,0.643,0.577,3.30E-78
Atp11b,1.54E-82,4.769515763,0.399,0.282,4.94E-78
Srsf11,1.72E-82,2.19119789,0.415,0.293,5.52E-78
Vti1a,1.82E-82,24.735561,0.442,0.317,5.85E-78
Acaca,4.01E-82,20.67061734,0.372,0.247,1.29E-77
Kmt2a,4.04E-82,11.78392645,0.459,0.34,1.30E-77
Zmynd8,5.47E-82,1.407714752,0.395,0.273,1.76E-77
Ankrd12,1.77E-81,2.504885646,0.42,0.297,5.70E-77
Ptprs,2.03E-81,-5.364466838,0.402,0.286,6.54E-77
Nalcn,5.85E-81,15.27128292,0.441,0.322,1.88E-76
Ndfip1,8.91E-81,3.513427971,0.342,0.229,2.87E-76
Car10,9.55E-81,41.08304656,0.676,0.815,3.07E-76
Mtf2,1.11E-80,2.496276514,0.302,0.188,3.57E-76
Ascc3,2.47E-80,1.135190605,0.356,0.237,7.94E-76
Megf11,3.57E-80,4.689587734,0.261,0.386,1.15E-75
Akap8l,4.87E-80,1.746698549,0.336,0.22,1.57E-75
Tnrc6a,5.02E-80,6.827758344,0.503,0.385,1.61E-75
Lrba,5.19E-80,-4.794769013,0.518,0.396,1.67E-75
Rbm25,6.29E-80,4.758564216,0.533,0.412,2.02E-75
Mapk10,2.50E-79,15.17191374,0.623,0.544,8.05E-75
Setd5,2.84E-79,3.428357775,0.501,0.379,9.14E-75
Plcl1,5.74E-79,2.226880511,0.335,0.207,1.85E-74
Patj,8.81E-79,-2.712125263,0.285,0.401,2.83E-74
Peg3,1.13E-78,-2.094437055,0.445,0.331,3.65E-74
Scmh1,1.47E-78,-2.826887574,0.381,0.26,4.74E-74
Ccser1,1.68E-78,-15.08587835,0.79,0.751,5.39E-74
Sobp,2.45E-78,13.25402704,0.393,0.281,7.88E-74
Exoc4,4.11E-78,-7.260543526,0.61,0.499,1.32E-73
Cdh2,1.21E-77,-10.5661347,0.449,0.333,3.89E-73
Ylpm1,2.22E-77,1.876089806,0.392,0.275,7.14E-73
Kat6b,4.83E-77,5.829001286,0.363,0.248,1.56E-72
Btrc,6.28E-77,3.164918331,0.34,0.224,2.02E-72
Dis3l2,7.84E-77,2.378863134,0.305,0.192,2.52E-72
Rere,1.50E-76,5.257574084,0.704,0.617,4.83E-72
A330023F24Rik,4.28E-76,1.056453929,0.446,0.334,1.38E-71
Gls,4.53E-76,22.43387968,0.555,0.463,1.46E-71
Tmem132a,1.22E-75,-1.627487945,0.21,0.321,3.92E-71
Klhdc10,1.51E-75,1.843924378,0.422,0.304,4.85E-71
Strn3,3.95E-75,1.057019564,0.538,0.428,1.27E-70
Stxbp5,4.19E-75,9.516091907,0.382,0.27,1.35E-70
Cask,4.63E-75,-14.49608082,0.397,0.28,1.49E-70
A230057D06Rik,5.65E-75,-16.62677053,0.731,0.674,1.82E-70
Tom1l2,6.87E-75,0.928482991,0.378,0.261,2.21E-70
Pde4dip,9.63E-75,3.590250688,0.45,0.342,3.10E-70
Ints6,1.00E-74,3.08758817,0.314,0.203,3.22E-70
Zmym4,1.88E-74,-4.508212219,0.456,0.338,6.06E-70
Myef2,2.79E-74,0.542207951,0.343,0.231,8.97E-70
Grin1,4.71E-74,1.074303909,0.53,0.432,1.51E-69
Chd6,8.84E-74,3.477846048,0.429,0.309,2.84E-69
Esyt2,1.59E-73,8.530494372,0.364,0.252,5.11E-69
Umad1,1.76E-73,2.296023019,0.303,0.192,5.66E-69
Foxp1,2.57E-73,-10.75772729,0.504,0.404,8.28E-69
Ralgapb,6.51E-73,1.861688564,0.302,0.193,2.10E-68
Map2,8.06E-73,15.13935025,0.601,0.511,2.59E-68
Apbb2,3.74E-72,15.32259313,0.419,0.304,1.20E-67
Ckb,5.20E-72,-4.249055705,0.211,0.317,1.67E-67
Cspp1,1.40E-71,2.011605709,0.394,0.279,4.51E-67
Celf4,1.80E-71,20.98549907,0.532,0.449,5.80E-67
Plcb4,3.26E-71,-5.723884721,0.528,0.636,1.05E-66
Ddx50,4.23E-71,3.778245614,0.322,0.214,1.36E-66
Usp9x,4.71E-71,5.810047538,0.441,0.332,1.52E-66
Clk1,6.23E-71,1.812234777,0.39,0.279,2.00E-66
Adam23,7.36E-71,5.113382279,0.394,0.287,2.37E-66
Ndst3,1.60E-70,1.871557141,0.357,0.482,5.13E-66
Ptprt,4.69E-70,22.42419754,0.428,0.319,1.51E-65
Faf1,3.24E-69,3.596147888,0.509,0.401,1.04E-64
Bclaf1,4.79E-69,-1.466309421,0.405,0.292,1.54E-64
