"","RR3_BRN_GC_G7","RR3_BRN_GC_G8","RR3_BRN_GC_G9","RR3_BRN_FLT_F1","RR3_BRN_FLT_F2","RR3_BRN_FLT_F7"
"ENSMUSG00000033191",222.527103000113,233.306269750304,232.265082904829,220.514633003407,225.632508912562,192.310018683253
"ENSMUSG00000033192",350.400054012979,226.031490674744,284.60589797833,239.873596232597,204.117557848167,303.540810753592
"ENSMUSG00000033196",264.639306230996,95.2784069552708,121.351754706046,65.2595961691515,82.8635100514193,262.96777736934
"ENSMUSG00000033207",132.930346497122,83.585356835659,56.6420190457682,88.9333808895593,79.9796362994346,114.667046248264
"ENSMUSG00000033208",6591.89175804281,4527.68503021159,5416.22939959248,4590.96494611198,6379.25708069478,6321.90868830124
"ENSMUSG00000033209",579.294095790344,811.57714980957,767.012775165506,812.933346643973,715.619913525427,689.730482969339
"ENSMUSG00000033213",4.51688014468556,3.2844364370779,3.75551654814638,0,0,0.95307413526436
"ENSMUSG00000033214",3857.56677256108,3339.00032392948,3505.16827153143,4041.29263785269,3708.85872562281,3460.350953495
"ENSMUSG00000033216",593.96485543327,557.086697682175,471.387927099157,425.51237225195,425.654568116619,565.523173637996
"ENSMUSG00000033220",244.841503450911,43.2884847661971,137.502384585409,48.8256991903584,56.3032018884522,68.0868798118347
"ENSMUSG00000033222",27.1738981902835,38.7683568088568,20.5087031524934,35.9196487885679,20.3555819117468,55.2295143835634
"ENSMUSG00000033227",5.74018078644553,17.486698783665,2.06511777247303,13.2081555802526,10.6238368419046,11.0124072456398
"ENSMUSG00000033228",3385.7016678453,3572.22943680268,3320.84543960695,3214.86424829143,3023.25013710762,2851.9396959085
"ENSMUSG00000033233",191.346143605625,260.946701150607,300.698433570816,245.496048195731,278.608459359137,187.193102951406
"ENSMUSG00000033237",1977.63914547833,2667.56849951392,2307.84238963849,2301.68088951555,2223.77962732141,2021.17239067215
"ENSMUSG00000033249",168.726960362367,123.731357114476,170.913501463754,122.918131980903,165.999531493032,169.720070809146
"ENSMUSG00000033253",1131.55055355176,1107.08086145572,893.844598880169,1020.27146335224,1091.918477428,868.785582889521
"ENSMUSG00000033256",444.59066376313,643.359958968837,358.529895758562,305.495770770452,397.497226351849,424.229820230556
"ENSMUSG00000033257",549.300957904184,408.544571312525,598.221233987989,504.878806504298,444.019229435241,524.966786769678
"ENSMUSG00000033268",4.83165389988212,14.0974480323734,0,5.17891402376168,0,4.06319681195111
"ENSMUSG00000033272",772.602984446044,586.095596132825,556.233277350684,667.388197282296,1028.51824862088,965.533229750386
"ENSMUSG00000033276",114.153930900187,120.997125670434,98.9717987775638,87.2532053423857,53.9757145899809,107.689598946289
"ENSMUSG00000033278",2349.0166381651,2485.82694479701,2713.06919242752,2421.95807527535,2183.67911363928,2530.28679393466
"ENSMUSG00000033282",1489.11991074121,1386.14135211678,3033.35420888973,1340.22755797355,2164.4572001769,1286.31209904566
"ENSMUSG00000033285",692.34672048312,683.584751775805,773.997611554078,627.874176034373,650.045108595796,734.489857862068
"ENSMUSG00000033287",3197.81136230346,2387.38284235713,2888.38395675071,2896.37162618412,3015.0343533095,3230.30769543595
"ENSMUSG00000033294",367.888503480445,341.567798318164,329.531947715331,325.120088241794,250.168092699,342.573173450791
"ENSMUSG00000033295",3289.31475764336,4809.98043850428,3312.79494914924,4079.16422782754,3970.13058334183,3612.83311933327
"ENSMUSG00000033306",1051.37513224916,1165.99636323285,1114.69901012847,1196.18777799114,1069.1914228188,1051.30733766322
"ENSMUSG00000033307",2153.7249838975,2478.80545296767,2524.70773869283,2558.28864611694,2548.86824371891,2520.07453796766
"ENSMUSG00000033308",168.338844643015,749.49570104971,268.220059089762,348.792244783196,149.615474458473,286.621468034384
"ENSMUSG00000033313",10.6156943599218,16.9276397817977,22.8923006315335,10.3319487734688,17.9400255592028,6.09191227689418
"ENSMUSG00000033316",1137.95774329546,1570.09612917965,1185.04591955074,1328.11185702053,1287.51060737214,1304.22963730809
"ENSMUSG00000033318",36.7502655958534,47.3150271458654,26.9959705837393,38.301837658738,30.3469710439956,32.4957282888892
"ENSMUSG00000033319",1301.7183193166,1200.13123677057,1066.86225374637,1358.05209851803,1419.66528529185,1353.07098496613
"ENSMUSG00000033323",468.968143764654,690.00661330853,663.083731525885,580.40294097139,726.858571660649,573.144097813499
