"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"496","Rif1",1.08636982236939e-57,-4.45805165878793,0.278,0.374,3.49485171856232e-53
"518","Slf2",1.26331775917991e-53,-2.17028960730394,0.308,0.214,4.06409323128177e-49
"531","Rbfox2",2.34977618745995e-52,-3.46769509953588,0.499,0.411,7.55922999505865e-48
"533","Ncor1",3.47714178620914e-52,-2.88593716190332,0.558,0.469,1.11859651262348e-47
"536","Gtf2i",9.67556342872851e-52,-2.32895926816328,0.32,0.226,3.11262875502196e-47
"537","Cox16",1.43853415843918e-51,-1.30679799437211,0.425,0.327,4.62776438769884e-47
"538","Ust",1.44934713751716e-51,-2.47795848167862,0.272,0.369,4.6625497413927e-47
"539","Usp24",3.69271872517653e-51,-5.26283923335982,0.304,0.21,1.18794761388929e-46
"544","Rbm6",1.55775192748633e-50,-3.6951713591293,0.524,0.431,5.01128795072354e-46
"546","Smyd3",2.93775247637767e-50,-43.8649718431359,0.551,0.464,9.45074971650696e-46
"551","Cdh18",5.63413585542833e-50,-2.10168852087955,0.599,0.731,1.81250150469129e-45
"558","Elmo1",1.51691489134821e-49,-5.91544048927057,0.348,0.256,4.87991520546721e-45
"563","Wnk2",9.35810911849725e-49,-3.80353479738075,0.34,0.25,3.01050370342056e-44
"569","Tmem163",2.35768247313288e-48,-2.74598437242955,0.212,0.303,7.58466451606847e-44
"573","Osbpl9",6.16706693681917e-48,-0.525360569296613,0.402,0.309,1.98394543357473e-43
"576","Rgs7bp",8.68677397068984e-48,-16.527543615107,0.39,0.302,2.79453518637092e-43
"578","Nptn",3.22496862615632e-47,-1.70760075536419,0.511,0.441,1.03747240703449e-42
"580","Eif4g3",8.54838842996424e-47,-1.17545758595807,0.48,0.392,2.7500165579195e-42
"583","Mtcl1",4.00716922747339e-46,-1.1732949104195,0.318,0.412,1.28910634047819e-41
"597","Schip1",9.35657067748956e-45,-63.9543124105028,0.484,0.448,3.01000878694839e-40
"599","Clasp2",1.29546308784584e-44,-2.83232065119662,0.668,0.596,4.16750475360005e-40
"603","Jakmip2",3.22839904270915e-44,-1.04899883663402,0.359,0.274,1.03857597203953e-39
"607","Hcn1",8.42944461915174e-44,-26.6269764455763,0.4,0.332,2.71175233398112e-39
"608","Lpp",1.10623153378827e-43,-1.38424484369426,0.35,0.438,3.55874684419686e-39
"609","Btaf1",3.55943564450138e-43,-1.96987998208573,0.302,0.218,1.14507044683609e-38
"622","Gbf1",1.55346896432468e-41,-6.2945044643841,0.327,0.241,4.99750965823249e-37
"626","AY036118",2.79628513487505e-41,-8.82959858952453,0.43,0.352,8.99564927889304e-37
"630","Pds5b",8.84056862016482e-41,-1.5405574414235,0.304,0.222,2.84401092510702e-36
"636","Clock",5.87447321585781e-40,-1.39162633587841,0.327,0.245,1.88981803354146e-35
"641","Cltc",3.10371549720767e-39,-20.7551199086476,0.334,0.256,9.98465275451709e-35
"643","Nsd1",1.09496920399483e-38,-1.00980571573463,0.519,0.437,3.52251592925137e-34
"652","Alms1",2.96542288582271e-37,-0.626468884932893,0.234,0.309,9.53976542369167e-33
"659","Mkln1",5.73571300476835e-36,-1.04123416474745,0.382,0.302,1.84517887363398e-31
"664","Kansl1",4.28468259320771e-35,-4.65520723411226,0.638,0.58,1.37838239023492e-30
"669","Csnk1a1",1.72919012335195e-34,-3.18777698967746,0.418,0.343,5.56280462682323e-30
"670","Itch",1.81485783133259e-34,-0.628591886272803,0.35,0.272,5.83839764339695e-30
"671","Fnbp1",2.04387070583193e-34,-4.23586381639739,0.553,0.623,6.57513206066132e-30
"682","Slc25a3",4.6635630046332e-33,-7.57616266190412,0.36,0.284,1.5002682185905e-28
"688","Cog5",2.80314654324129e-32,-1.13703114106726,0.354,0.279,9.01772242960722e-28
"689","Ccar1",3.39099388653082e-32,-10.6662226928775,0.347,0.273,1.09088273329697e-27
"695","Fam49b",1.12556900785724e-31,-1.21075059172794,0.466,0.387,3.62095549827674e-27
"696","Atrx",1.39196036517253e-31,-0.937084093618067,0.51,0.436,4.47793649476004e-27
"698","Hdac8",3.64406321935878e-31,-1.89627715444358,0.371,0.291,1.17229513766772e-26
"700","Fth1",1.54394498139223e-30,-35.2836089019624,0.291,0.36,4.96687100513881e-26
"703","Gria4",2.16445644769641e-30,-48.2678646506062,0.787,0.778,6.96305639223935e-26
"704","Ube2h",2.44605505599985e-30,-3.88169347959584,0.317,0.246,7.86895911515152e-26
"706","Nipbl",3.54850417972133e-30,-5.2383769299097,0.51,0.433,1.14155379461635e-25
